genotype;replicate;stage;number
MM;3;fourth+exuviae;8
MM;4;fourth+exuviae;11
MM;5;fourth+exuviae;4
MM;6;fourth+exuviae;4
LA1840;1;fourth+exuviae;3
LA1840;2;fourth+exuviae;2
LA1840;3;fourth+exuviae;0
LA1840;5;fourth+exuviae;2
LO6176;1;fourth+exuviae;9
LO6176;2;fourth+exuviae;8
LO6176;5;fourth+exuviae;7
LO6176;6;fourth+exuviae;22
LO6193;2;fourth+exuviae;6
LO6193;3;fourth+exuviae;22
LO6193;6;fourth+exuviae;4
LYC00115;2;fourth+exuviae;2
LYC00115;5;fourth+exuviae;24
LYC00115;6;fourth+exuviae;5
LYC00122;3;fourth+exuviae;12
LYC00122;4;fourth+exuviae;8
LYC00122;6;fourth+exuviae;15
LYC00175;3;fourth+exuviae;15
LYC00175;4;fourth+exuviae;4
MM;3;egg;23
MM;4;egg;24
MM;5;egg;55
MM;6;egg;10
LA1840;1;egg;59
LA1840;2;egg;57
LA1840;3;egg;34
LA1840;5;egg;35
LO6176;1;egg;7
LO6176;2;egg;10
LO6176;5;egg;18
LO6176;6;egg;22
LO6193;2;egg;14
LO6193;3;egg;37
LO6193;6;egg;25
LYC00115;2;egg;4
LYC00115;5;egg;33
LYC00115;6;egg;17
LYC00122;3;egg;16
LYC00122;4;egg;16
LYC00122;6;egg;10
LYC00175;3;egg;8
LYC00175;4;egg;14
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
