sample_id,genotype,tissue,riboflavin
20230912_ATQ_LAD_LA1028_1,LA1028,leaf,4.028888623
20230912_ATQ_LAD_LA1028_11,LA1028,leaf,5.469790056
20230912_ATQ_LAD_LA1028_16,LA1028,leaf,5.795793101
20230912_ATQ_LAD_LA1028_23,LA1028,leaf,5.257133254
20230912_ATQ_LAD_LA1028_6,LA1028,leaf,5.339158639
20230912_ATQ_LAD_LA1330_10,LA1330,leaf,5.447576829
20230912_ATQ_LAD_LA1330_15,LA1330,leaf,4.498089321
20230912_ATQ_LAD_LA1330_17,LA1330,leaf,4.02734914
20230912_ATQ_LAD_LA1330_22,LA1330,leaf,3.713036936
20230912_ATQ_LAD_LA1330_4,LA1330,leaf,4.407447658
20230912_ATQ_LAD_LA1840_14,LA1840,leaf,6.569185537
20230912_ATQ_LAD_LA1840_18,LA1840,leaf,5.620709193
20230912_ATQ_LAD_LA1840_2,LA1840,leaf,4.219708619
20230912_ATQ_LAD_LA1840_21,LA1840,leaf,5.5920299
20230912_ATQ_LAD_LA1840_7,LA1840,leaf,5.90441794
20230912_ATQ_LAD_LA2663_13,LA2663,leaf,5.695139883
20230912_ATQ_LAD_LA2663_20,LA2663,leaf,4.101564837
20230912_ATQ_LAD_LA2663_25,LA2663,leaf,4.667935943
20230912_ATQ_LAD_LA2663_5,LA2663,leaf,3.878393037
20230912_ATQ_LAD_LA2663_9,LA2663,leaf,4.709026838
20230912_ATQ_LAD_MM_12,MM,leaf,2.779786072
20230912_ATQ_LAD_MM_19,MM,leaf,1.625123139
20230912_ATQ_LAD_MM_24,MM,leaf,1.733907159
20230912_ATQ_LAD_MM_3,MM,leaf,1.685959706
20230912_ATQ_LAD_MM_8,MM,leaf,2.003553897
20230912_ATQ_LAD_LA1028_1,LA1028,phloem,2.08932106
20230912_ATQ_LAD_LA1028_11,LA1028,phloem,4.476847925
20230912_ATQ_LAD_LA1028_16,LA1028,phloem,2.410260583
20230912_ATQ_LAD_LA1028_23,LA1028,phloem,1.97495963
20230912_ATQ_LAD_LA1028_6,LA1028,phloem,1.285364211
20230912_ATQ_LAD_LA1330_10,LA1330,phloem,1.950520426
20230912_ATQ_LAD_LA1330_15,LA1330,phloem,1.912889412
20230912_ATQ_LAD_LA1330_17,LA1330,phloem,1.538308571
20230912_ATQ_LAD_LA1330_22,LA1330,phloem,2.447844486
20230912_ATQ_LAD_LA1330_4,LA1330,phloem,2.189113333
20230912_ATQ_LAD_LA1840_14,LA1840,phloem,2.647372308
20230912_ATQ_LAD_LA1840_18,LA1840,phloem,4.221626667
20230912_ATQ_LAD_LA1840_2,LA1840,phloem,2.643581563
20230912_ATQ_LAD_LA1840_21,LA1840,phloem,3.290032212
20230912_ATQ_LAD_LA1840_7,LA1840,phloem,2.262888772
20230912_ATQ_LAD_LA2663_13,LA2663,phloem,2.171765149
20230912_ATQ_LAD_LA2663_20,LA2663,phloem,1.475503636
20230912_ATQ_LAD_LA2663_25,LA2663,phloem,1.424531515
20230912_ATQ_LAD_LA2663_5,LA2663,phloem,1.337142385
20230912_ATQ_LAD_LA2663_9,LA2663,phloem,1.926288333
20230912_ATQ_LAD_MM_12,MM,phloem,9.662307907
20230912_ATQ_LAD_MM_19,MM,phloem,7.010397742
20230912_ATQ_LAD_MM_24,MM,phloem,7.87072918
20230912_ATQ_LAD_MM_3,MM,phloem,9.968733333
20230912_ATQ_LAD_MM_8,MM,phloem,8.847346667
